"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeOutDuration","Inertia","EnemyVersion"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Death_sparkle3_purple",17,180,180,1,3,300,3500,-30,30,"true",,,2,,45,45,,30,-150,,,"sc/effects.sc","Death_purple_sparkle1",,"true",60,10,2900,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Death_enemy_puff",12,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,10,20,90,35,,,"sc/effects.sc","explosion_purple_glow1","true",,23,30,2000,40,
"Death_player_puff",12,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,10,20,90,35,,,"sc/effects.sc","Death_blue_smoke","true",,23,30,3500,40,"Death_enemy_puff"
"ArcherTower_particle1",1,180,180,1,3,1000,1200,,360,"true",,,,10,50,,450,600,-2000,,,"sc/effects.sc","SparkleBlue",,,100,80,200,55,
"ArcherTower_particle2",1,180,180,1,3,1500,1600,,360,"true",,,,10,50,,250,300,-2000,,,"sc/effects.sc","SparkleBlue",,,100,80,200,55,
"ArcherTower_particle3",2,,200,,5,250,250,,360,"true",,,,,,47,,,,,,"sc/effects.sc","particle_coal6",,,100,200,400,,
"ArcherTower_particle4",1,180,180,1,3,5000,6000,,360,"true",,,,5,20,25,30,50,-1000,,,"sc/effects.sc","SparkleBlue",,"true",100,80,200,20,
"ArcherTower_particles5",1,180,180,1,3,5000,6000,,360,"true","true",,,20,20,93,250,260,-1000,,,"sc/effects.sc","SparkleBlue","true",,100,80,200,20,
"ArcherTower_particle6",2,180,250,1,5,5000,6000,,360,"true",,,,20,20,93,200,250,-1000,,,"sc/effects.sc","SparkleBlue","true",,100,80,200,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
"ArcherTower_particle7",66,250,250,1,10,1000,1600,,360,"true","true",,2,50,80,74,100,850,-1000,,,"sc/effects.sc","SparkleBlue","true",,130,40,200,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
"ArcherTower_destruction_smoke",13,1000,1000,1,5,2000,4300,,360,,"true",3,5,10,15,14,20,30,10,,,"sc/effects.sc","explosion_cloud_1","true","true",100,120,6500,20,
"ArcherTower_destruction_smoke_shadow",9,100,100,1,1,2700,2800,,360,,"true",1,4,,,,,,,,,"sc/effects.sc","explosion_cloud_1","true","true",150,150,8000,,
"ArcherTower_destroyed",1,,,,,900000,900000,,360,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,200,,
"AercherTower_particleShadows",16,250,250,1,10,1000,1200,,360,"true","true",,6,1,80,,-100,-850,-1000,,,"sc/effects.sc","SparkleBlue","true",,80,40,2000,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
"Projectile_rocket_emitter1",4,,,,,150,600,-40,40,"true",,,2,,,,,,-500,,,"sc/effects.sc","fireplace_particle",,,120,30,200,,
"Projectile_rocket_smoke1",5,,,,,600,1200,,360,"true",,,2,,,,,,20,,1000,"sc/effects.sc","smoke_cloud_1","true",,70,1,400,,
"RocketTower_emitter1",12,190,190,1,2,50,500,170,200,"true",,,4,100,300,,10,100,200,,,"sc/effects.sc","fireplace_particle",,,150,30,200,25,
"RocketTower_emitter2",6,,,,,250,300,170,200,"true",,,4,10,200,,1,10,200,,,"sc/effects.sc","Deco_small_glow2",,,130,30,200,25,
"RocketTower_smoke1",9,200,200,1,30,600,2500,170,200,"true","true",,,40,80,,10,20,-20,,,"sc/effects.sc","smoke_cloud_1","true","true",100,1,400,25,
"Projectile_emitter_glow1",12,1000,1000,2,50,100,300,,360,,"true",,2,,,,,,,,,"sc/effects.sc","Deco_small_glow2","true","true",1,60,,,
"RocketTower_destroyed_base",1,,,,,900000,900000,,360,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,200,,
"cannon_glow_top",1,,,,,1200,1400,,,,,,,,,,40,40,30,,,"sc/effects.sc","Deco_small_glow2",,,,,100,,
"cannon_smoke1",10,,,,,500,1500,,360,"true",,,,5,25,,80,120,-60,,250,"sc/effects.sc","smoke_cloud_1","true","true",75,40,1800,,
"cannon_firePareticles",9,150,150,1,50,300,400,-40,40,"true",,,,100,200,,10,200,-200,,,"sc/effects.sc","fireplace_particle","true",,180,10,200,,
"cannon_glow",1,,,,,400,600,,,"true",,,,,,,,,,,,"sc/effects.sc","Deco_small_glow","true",,,,,,
"cannon_smoke_shadow",5,,,,,1100,2500,,360,"true",,,,-5,-15,,-50,-90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",80,30,2000,,
"cannon_hit_rock_emiter",4,200,400,,5,400,800,,360,,"true",,,30,75,35,50,120,-1000,,,"sc/effects.sc","Rock1Particle",,,80,10,,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"cannon_hit_smokePuff",7,2,2,,,300,700,10,50,,"true",,,30,40,,200,250,-1000,,,"sc/effects.sc","SteamSmall","true","true",100,125,250,10,
"cannon_hit_ballBounce",1,300,300,10,40,1000,1000,,,"true",,1,1,80,80,,150,150,-2000,,,"sc/level.sc","projectile_cannonball_large","true",,100,75,200,10,
"cannonball_bounce_shadow",1,300,300,10,40,1000,1000,,,,,1,1,80,80,,150,150,-2000,,,"sc/level.sc","cannonball_large_shadow",,,80,55,200,10,
"Wizard_roundBase_player",1,180,180,1,3,5000000,6000000,,360,"true",,,,,,,,,-1000,,,"sc/effects.sc","wizard_roundBase_player",,"true",,,200,20,"Wizard_roundBase_enemy"
"Wizard_roundBase_enemy",1,180,180,1,3,5000000,6000000,,360,"true",,,,,,,,,-1000,,,"sc/effects.sc","wizard_roundBase_enemy",,,,,200,20,
"Tower_fire_particles1",3,50,50,1,10,300,700,,360,"true","true",,1,,,,,,100,,,"sc/effects.sc","SparkleBlue","true",,70,20,300,25,"Tower_fire_particles1_enemy"
"Tower_fire_glow1",2,150,250,20,50,200,200,,,,,,3,,,,10,300,,,,"sc/effects.sc","SparkleBlue",,,160,20,200,,"Tower_fire_glow1_enemy"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
"Tower_fire_particles2",3,50,50,1,10,500,800,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,2000,,
"Tower_fire_glow1_enemy",2,150,250,20,50,200,200,,,,,,3,,,,10,300,,,,"sc/effects.sc","SparkleBlue",,,160,20,200,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
"Tower_fire_particles1_enemy",3,50,50,1,10,300,700,,360,"true","true",,1,,,,,,100,,,"sc/effects.sc","SparkleBlue","true",,70,20,300,25,
"Tower_fire_particles2_enemy",3,50,50,1,10,500,800,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,2000,,"Tower_fire_particles2_enemy"
"Tower_continuous_particles1",2,3500,3500,3400,3500,600,1200,,360,"true","true",,1,,,35,,,100,,,"sc/effects.sc","SparkleBlue","true",,70,40,1000,25,"Tower_continuous_particles1_enemy"
"Tower_continuous_particles1_enemy",2,3500,3500,3400,3500,600,1200,,360,"true","true",,1,,,35,,,100,,,"sc/effects.sc","SparkleBlue","true",,70,40,1000,25,"Tower_fire_particles1_enemy"
"Tower_projectile_emitter1",1,,,,,300,400,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,600,,
"Tower_projectile_trail1",1,1,1,1,50,200,500,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3","true",,,,,,
"Fear_face_emitter",6,1500,1500,1,100,1200,2500,,360,,"true",6,12,,,14,20,30,,,,"sc/effects.sc","Fear_face",,,40,60,,20,
"Fear_face_emitter_shadow",7,1000,1000,1,5,2000,7300,,360,,,,12,,,14,,,,,,"sc/effects.sc","Fear_face_shadow",,,70,40,19000,,
"Warhound_tear",7,300,300,,50,300,300,,360,,"true",,,80,100,20,100,150,-1000,,,"sc/effects.sc","GlassShard6",,,50,75,,,
"piper_attack_emmiter",1,1500,1500,250,500,800,1000,45,60,,,,,10,25,50,10,25,10,,,"sc/effects.sc","piper_note",,,40,70,,,
"piper_hit_emmiter",2,1000,1500,500,500,800,1200,10,15,,,,,,2,20,20,20,-50,,,"sc/effects.sc","piper_note_charm",,"true",60,25,,,
"FireballEmitterTrail",50,800,800,5,10,600,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail1",,,55,80,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"fireball_trial_spark",16,800,800,5,10,600,800,,360,,"true",-4,4,15,30,,100,200,35,,,"sc/effects.sc","Sparkle",,,55,80,500,1,
"fireball_trail_glow",50,800,800,5,10,600,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail3",,,55,80,500,1,
"Wizard_die_player_emitter1",1,1,1,,1,1000000,10000000,,,,,,,,,,,,,,,"sc/chr_royal_king.sc","King_royal_blue_die1_1",,,,,,,"Wizard_die_enemy_emitter1"
"Wizard_die_book_emitter1",1,1,1,,1,100000,1000000,,360,,"true",,,60,70,,,,,,,"sc/chr_neutral_wizard.sc","Wizard_book_particle1",,,95,95,,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/chr_neutral_wizard.sc","Wizard_book_particle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/chr_neutral_wizard.sc","Wizard_book_particle3",,,,,,,
"Wizard_die_enemy_emitter1",1,1,1,,1,1000000,10000000,,,,,,,,,,,,,,,"sc/chr_royal_king.sc","King_royal_red_die1_1",,,,,,,
"rocketTowerHitsmoke",44,100,100,1,1,1000,1500,,360,,"true",-3,3,10,35,66,20,45,50,,,"sc/effects.sc","smoke_cloud_1","true","true",30,95,5000,20,
"RocketTower_fireworks",14,190,190,1,3,500,1200,,360,,"true",1,1,80,100,,100,200,-300,,20,"sc/effects.sc","SparkleBlue","true",,80,1,,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
"Wizard_die_player_hat",1,1,1,,1,100000,1000000,,360,,"true",,,60,70,,,,,,,"sc/chr_neutral_wizard.sc","Wizard_player_hat1",,,95,95,,50,"Wizard_die_enemy_hat"
"Wizard_die_enemy_hat",1,1,1,,1,100000,1000000,,360,,"true",,,60,70,,,,,,,"sc/chr_neutral_wizard.sc","Wizard_enemy_hat1",,,95,95,,50,
"rocketTower_sparks",18,200,200,1,1,200,250,,360,,,,-1,200,300,9,50,100,-200,,,"sc/effects.sc","hitFx","true",,30,50,,500,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rocketTower_spark2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","rocketTower_spark1",,,,,,,
"fire_sparks2",46,600,650,25,25,500,1200,,360,,"true",-3,3,,,,200,300,-200,,,"sc/effects.sc","rocketTower_spark1",,,30,1,,,
"rocketTower_fireworks2",4,100,100,25,50,450,500,2,280,,"true",-5,5,5,15,45,3,4,,,,"sc/effects.sc","rocket_tower_hit",,,100,150,350,,
"catapult_hit_smoke",12,1,1,,,1000,1200,,360,,,,,100,120,3,10,10,25,,,"sc/effects.sc","catapult_hit_cloud_1",,,,,800,350,
"catapult_smokePuff",10,100,100,,,600,1000,45,90,,"true",-2,2,10,80,42,50,120,50,,,"sc/effects.sc","catapult_hit_cloud_1",,,50,80,600,80,
"catapultAttack_smoke",3,,,,,600,1000,,360,,"true",-1,1,15,35,42,60,80,-100,,,"sc/effects.sc","catapult_hit_cloud_1",,,40,60,600,100,
"catapult_grass_emitter",5,400,400,,5,800,1200,,360,,"true",,,60,150,20,100,250,-2000,,,"sc/effects.sc","grass_particle_1",,,100,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","grass_particle_2",,,,,,,
"catapult_rock_Emitter",13,400,400,,5,800,1200,,360,,"true",,,50,150,20,100,250,-2000,,,"sc/effects.sc","Rock1Particle",,,100,150,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"catapult_hit_shadow",8,1,1,,,1000,1200,,360,,,,,20,20,,,,-350,,,"sc/effects.sc","catapult_hit_cloud_1",,,,,1000,10,
"catapult_grass_shadow",4,400,400,,5,800,1200,,360,,"true",,,30,150,,100,250,-5000,,,"sc/effects.sc","grass_particle_1",,,100,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","grass_particle_2",,,,,,,
"catapultHitSmoke_shadow",1,1,1,,,1000,1000,-265,-275,"true","true",,,40,40,2,,,,,,"sc/effects.sc","catapult_hit_cloud_1","true",,,,1000,,
"towerExplode_Smoke",10,1,1,,,800,1000,,360,,,,,70,75,8,,,50,,,"sc/effects.sc","tower_destr_cloud_1",,,,,500,125,
"TowerExplode_sparks",20,200,200,,10,250,350,,360,,"true",,,200,250,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"TowerExplode_smokePuff",11,,,,,800,1000,,360,,"true",,,,20,40,80,100,25,,,"sc/effects.sc","tower_destr_cloud_1",,,,,900,,
"TowerExplode_explosion",37,100,100,1,1,2500,300,,360,,"true",,,250,300,,,,,,,"sc/effects.sc","tower_destr_cloud_2",,,75,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","tower_destr_cloud_2",,,,,,,
"TowerExplode_rockEmitter",23,350,350,,10,600,2000,,360,"true","true",2,4,,60,,300,1000,-3500,,,"sc/effects.sc","Rock1Particle","true",,50,80,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall3",,,,,,,
"TowerExplode_grassEmitter",1,,,,5,8000,4000,,,,"true",,,,,,,,-2000,,,"sc/effects.sc","star_appear",,"true",50,50,,,
"towerExplode_Smoke_shadow",10,1,1,,,800,1000,,360,,,,,70,75,,,,-50,,,"sc/effects.sc","tower_destr_cloud_1",,,,,750,125,
"TowerExplode_glass",10,1,1,,,800,1000,,360,,"true",,2,,50,90,100,500,-500,,,"sc/effects.sc","towerExplode_blue1","true",,120,70,300,50,"TowerExplode_glass_enemy"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_blue2",,,,,,,
"TowerExplode_glass2",10,1,1,,,800,1000,,360,,"true",,2,60,150,90,10,50,,,,"sc/effects.sc","GlassShard2","true",,100,70,300,60,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard6",,,,,,,
"TowerExplodeBlueShard",1,,,,,800,800,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_blueShards",,,100,100,500,,"TowerExplodeEnemyShard"
"TowerExplodeEnemyShard",1,,,,,800,800,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_enemyShards",,,100,100,500,,
"TowerExplode_glass_enemy",10,1,1,,,800,1000,,360,,"true",,2,,50,90,100,500,-500,,,"sc/effects.sc","towerExplode_enemy1","true",,120,70,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_enemy2",,,,,,,
"tower_destroyed",1,,,,,80000,80000,,,,,,,,,,,,,,,"sc/building_general_tower.sc","Common_Tower_destroyed",,,100,100,500,,
"GoblinHut_smoke",3,1000,1000,200,200,5800,5800,,500,,,,1,,10,62,30,40,,,,"sc/effects.sc","Smoke_goblinHut",,,35,85,11000,100,
"Goblin_hut_woodExplosion",54,150,150,5,10,1000,1600,,360,"true","true",,2,50,80,30,300,700,-1500,,,"sc/effects.sc","crate_particle_1","true",,100,80,200,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"knight_deploy_dustPuff1",12,1,1,,,800,1300,,360,,"true",-1,,40,70,,20,,,,,"sc/effects.sc","d1","true",,150,160,1650,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"knight_deploy_rocks_hitGround",13,400,400,,5,1300,2000,,360,,"true",3,3,30,50,20,150,500,-2000,,,"sc/effects.sc","Rock1Particle",,,80,50,600,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"deploy_unit_blue",1,,,,,600,600,,360,,,,,,,,100,,-500,,,"sc/effects.sc","wizard_roundBase_player",,,100,50,250,,
"knight_depoy_dustShadow",3,1,1,,,900,1300,,360,,"true",-1,,-40,-70,,-20,,,,,"sc/effects.sc","d3","true",,230,260,1000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"knight_deploy_dustPuff2",55,1,1,,,500,600,,360,,"true",3,4,40,50,21,20,,25,,,"sc/effects.sc","d3",,,80,80,500,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"knight_die_particle_shoulders",2,1,1,,1,9000,10000,,360,,"true",1,,30,50,,,,,,,"sc/effects.sc","particle_shoulder1",,,110,100,300,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_shoulder2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_shoulder3",,,,,,,
"knight_die_particle_sword",1,1,1,,1,24000,25000,,360,,"true",,,,50,,,,,,,"sc/effects.sc","particle_sword",,,105,100,400,60,
"knight_speps_dust1",3,1,1,,,600,1100,,360,,"true",-1,,,,,20,,,,,"sc/effects.sc","d2","true",,60,80,800,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"Death_elixir_burst1",21,80,80,1,3,300,1000,,360,,,,,20,70,39,,600,-1700,,100,"sc/effects.sc","death_particle_elixir1",,,100,40,200,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_particle_elixir2",,,,,,,
"Death_elixir_ground1",3,80,80,1,3,3000,4000,,360,"true",,,3,10,20,,,,-1700,,,"sc/effects.sc","death_ground_elixir1",,,100,40,2000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir3",,,,,,,
"Tower_destroyed_ground",1,,,,,800000,800000,,,,,,,,,,,,,,,"sc/building_tower.sc","Tower_destroyed_ground1",,,,,,,
"Big_rock_particle1",1,180,180,1,3,1900,1900,,360,,"true",,,70,70,,,,15,,,"sc/effects.sc","big_rock_particle1",,,80,80,500,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","big_rock_particle2",,,,,,,
"giant_deploy_dustPuff",60,1,1,,,700,750,,360,,"true",4,4,60,80,,20,,25,,,"sc/effects.sc","d3",,,90,120,600,125,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"giant_deploy_rocks_hitGround",13,400,400,,5,1300,2000,,360,,"true",3,6,60,80,20,150,500,-2000,,,"sc/effects.sc","Rock1Particle",,,80,50,600,40,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"giant_deploy_dustPuff_shadow",60,1,1,,,700,750,,360,,"true",4,4,60,80,,20,,25,,,"sc/effects.sc","d3",,,90,120,700,125,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"Clouds_move1",2,,,50000,50000,65000,75000,,,,,,,,8,,,,,,,"sc/effects.sc","cloud_move1",,,130,130,3000,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","cloud_move2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","cloud_move3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","cloud_move4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","cloud_move5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","cloud_move6",,,,,,,
"giant_steps_dust1",6,1,1,,,600,1100,,360,,"true",1,2,,,,20,,-10,,,"sc/effects.sc","d2","true",,70,90,800,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"giant_death_elixir_burst1",23,80,80,1,3,300,1000,,360,,,,,20,70,39,,600,-1700,,100,"sc/effects.sc","death_particle_elixir1",,,120,60,200,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_particle_elixir2",,,,,,,
"giant_death_puff1",15,190,190,1,3,1200,2800,-30,30,,"true",2,4,,50,10,20,90,35,,,"sc/effects.sc","explosion_purple_glow1","true",,40,30,2000,40,
"giant_death_puff1_shadow",6,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,,-20,-90,-35,,,"sc/effects.sc","Death_blue_smoke","true",,25,40,2500,40,
"giant_death_elixir_ground1",4,80,80,1,3,3000,4000,,360,"true",,,3,10,20,,,,-1700,,,"sc/effects.sc","death_ground_elixir1",,,180,40,2000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir3",,,,,,,
"giant_hit_sparks",10,100,100,,10,100,100,1,360,"true","true",,2,300,350,50,60,100,,500,500,"sc/effects.sc","Sparkle","true",,110,150,,,
"giant_hit_puff1",7,,,,,350,400,,360,"true",,-2,2,25,20,50,200,250,,,600,"sc/effects.sc","d5","true",,40,100,600,50,
"giant_hitpuff2",24,,,,,400,400,-100,360,"true","true",,,100,100,49,,,,,,"sc/effects.sc","d3",,,100,50,500,100,
"Spell_rage_smoke1",16,190,190,1,3,2200,5800,,360,,"true",5,10,,50,21,,,,,,"sc/effects.sc","explosion_purple_glow1","true",,50,100,9000,40,
"Spell_rage_smoke2",16,,50,,,1200,2800,,360,,"true",2,20,,50,10,,50,1,,,"sc/effects.sc","rage_glowPurple",,,200,50,1000,50,
"Spell_rage_glowFast",1,,200,,5,200,200,,360,"true",,,,,,22,,,,,,"sc/effects.sc","rage_effect_glow1",,,50,130,50,,
"Spell_rage_sparckle1",32,180,180,1,3,300,800,,360,"true",,,18,40,100,44,80,230,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Spell_rage_sparkle1_loop",7,180,180,1,3,300,1800,,360,"true",,,18,40,100,44,80,230,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Spell_rage_sparckle2_loop",9,,200,1,20,300,1800,,360,"true",,17,19,,50,,,150,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"inferno_hit_sparks",10,150,,,50,150,250,,360,,,2,2,100,200,40,,,,,,"sc/effects.sc","sharp_spark","true","true",5,20,100,,
"inferno_stage2_sparks",28,3000,,100,500,600,800,220,310,,"true",,,50,70,,,,500,,,"sc/effects.sc","inferno_spark",,,80,130,,20,
"inferno_stage3_sparks",27,3000,,50,200,600,900,220,310,,"true",1,2,80,110,,,,700,,,"sc/effects.sc","inferno_spark",,,90,130,,30,
"inferno_stage2_peak_flame",27,3000,,50,200,800,1200,220,310,,"true",1,2,10,15,,,,100,,,"sc/effects.sc","inferno_spark_red",,,300,450,,70,
"inferno_stage3_peak_flame",32,3000,,50,200,950,1350,220,310,,"true",1,2,10,15,,,,130,,,"sc/effects.sc","inferno_spark",,,400,550,,70,
"touch_sparkle1",2,200,200,1,3,800,1500,-180,180,,,,2,5,10,,,,,50,100,"sc/effects.sc","Death_blue_sparkle1",,"true",60,10,1500,1,"Death_sparkle3_purple"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
